Year,Emirate_ar,Emirate_en,Type_of_Vehicle_ar,Type_of_Vehicle_en,Total_accidents
2001, أبو ظـــــبي ,Abu  Dhabi,مركبة خصوصية,Private Saloon,2537
2001, دبـــــــــــــي,Dubai,مركبة خصوصية,Private Saloon,931
2001, الشــــارقــــة,Sharjah,مركبة خصوصية,Private Saloon,1340
2001, عجمــــــــــان,Ajman,مركبة خصوصية,Private Saloon,297
2001, أم القيويــــن,Umm Al - Qiwain,مركبة خصوصية,Private Saloon,285
2001, رأس الخيمــة,Ras Al - Khaima,مركبة خصوصية,Private Saloon,780
2001, الفجيــــــــــرة,Fujeira,مركبة خصوصية,Private Saloon,161
2001, أبو ظـــــبي ,Abu  Dhabi,مركبة أجرة,Taxi,89
2001, دبـــــــــــــي,Dubai,مركبة أجرة,Taxi,96
2001, الشــــارقــــة,Sharjah,مركبة أجرة,Taxi,105
2001, عجمــــــــــان,Ajman,مركبة أجرة,Taxi,2
2001, أم القيويــــن,Umm Al - Qiwain,مركبة أجرة,Taxi,0
2001, رأس الخيمــة,Ras Al - Khaima,مركبة أجرة,Taxi,45
2001, الفجيــــــــــرة,Fujeira,مركبة أجرة,Taxi,11
2001, أبو ظـــــبي ,Abu  Dhabi,حافلة خفيفة,Light Bus,47
2001, دبـــــــــــــي,Dubai,حافلة خفيفة,Light Bus,34
2001, الشــــارقــــة,Sharjah,حافلة خفيفة,Light Bus,18
2001, عجمــــــــــان,Ajman,حافلة خفيفة,Light Bus,0
2001, أم القيويــــن,Umm Al - Qiwain,حافلة خفيفة,Light Bus,4
2001, رأس الخيمــة,Ras Al - Khaima,حافلة خفيفة,Light Bus,17
2001, الفجيــــــــــرة,Fujeira,حافلة خفيفة,Light Bus,1
2001, أبو ظـــــبي ,Abu  Dhabi,حافلة ثقيلة,Heavy Bus,9
2001, دبـــــــــــــي,Dubai,حافلة ثقيلة,Heavy Bus,11
2001, الشــــارقــــة,Sharjah,حافلة ثقيلة,Heavy Bus,0
2001, عجمــــــــــان,Ajman,حافلة ثقيلة,Heavy Bus,0
2001, أم القيويــــن,Umm Al - Qiwain,حافلة ثقيلة,Heavy Bus,1
2001, رأس الخيمــة,Ras Al - Khaima,حافلة ثقيلة,Heavy Bus,11
2001, الفجيــــــــــرة,Fujeira,حافلة ثقيلة,Heavy Bus,2
2001, أبو ظـــــبي ,Abu  Dhabi,شاحنة خفيفة,Light Goods Vehicle,294
2001, دبـــــــــــــي,Dubai,شاحنة خفيفة,Light Goods Vehicle,103
2001, الشــــارقــــة,Sharjah,شاحنة خفيفة,Light Goods Vehicle,52
2001, عجمــــــــــان,Ajman,شاحنة خفيفة,Light Goods Vehicle,0
2001, أم القيويــــن,Umm Al - Qiwain,شاحنة خفيفة,Light Goods Vehicle,2
2001, رأس الخيمــة,Ras Al - Khaima,شاحنة خفيفة,Light Goods Vehicle,123
2001, الفجيــــــــــرة,Fujeira,شاحنة خفيفة,Light Goods Vehicle,21
2001, أبو ظـــــبي ,Abu  Dhabi,شاحنة ثقيلة,Heavy Goods Vehicle,440
2001, دبـــــــــــــي,Dubai,شاحنة ثقيلة,Heavy Goods Vehicle,54
2001, الشــــارقــــة,Sharjah,شاحنة ثقيلة,Heavy Goods Vehicle,66
2001, عجمــــــــــان,Ajman,شاحنة ثقيلة,Heavy Goods Vehicle,2
2001, أم القيويــــن,Umm Al - Qiwain,شاحنة ثقيلة,Heavy Goods Vehicle,7
2001, رأس الخيمــة,Ras Al - Khaima,شاحنة ثقيلة,Heavy Goods Vehicle,52
2001, الفجيــــــــــرة,Fujeira,شاحنة ثقيلة,Heavy Goods Vehicle,14
2001, أبو ظـــــبي ,Abu  Dhabi,أخرى (ثقيل),Other Heavy,266
2001, دبـــــــــــــي,Dubai,أخرى (ثقيل),Other Heavy,12
2001, الشــــارقــــة,Sharjah,أخرى (ثقيل),Other Heavy,19
2001, عجمــــــــــان,Ajman,أخرى (ثقيل),Other Heavy,0
2001, أم القيويــــن,Umm Al - Qiwain,أخرى (ثقيل),Other Heavy,0
2001, رأس الخيمــة,Ras Al - Khaima,أخرى (ثقيل),Other Heavy,0
2001, الفجيــــــــــرة,Fujeira,أخرى (ثقيل),Other Heavy,1
2001, أبو ظـــــبي ,Abu  Dhabi,دراجة هوائية,Bicycle,122
2001, دبـــــــــــــي,Dubai,دراجة هوائية,Bicycle,21
2001, الشــــارقــــة,Sharjah,دراجة هوائية,Bicycle,26
2001, عجمــــــــــان,Ajman,دراجة هوائية,Bicycle,5
2001, أم القيويــــن,Umm Al - Qiwain,دراجة هوائية,Bicycle,2
2001, رأس الخيمــة,Ras Al - Khaima,دراجة هوائية,Bicycle,6
2001, الفجيــــــــــرة,Fujeira,دراجة هوائية,Bicycle,0
2001, أبو ظـــــبي ,Abu  Dhabi,دراجة نارية,Motorcycle,96
2001, دبـــــــــــــي,Dubai,دراجة نارية,Motorcycle,35
2001, الشــــارقــــة,Sharjah,دراجة نارية,Motorcycle,24
2001, عجمــــــــــان,Ajman,دراجة نارية,Motorcycle,3
2001, أم القيويــــن,Umm Al - Qiwain,دراجة نارية,Motorcycle,3
2001, رأس الخيمــة,Ras Al - Khaima,دراجة نارية,Motorcycle,21
2001, الفجيــــــــــرة,Fujeira,دراجة نارية,Motorcycle,6
2002, أبو ظـــــبي ,Abu  Dhabi,مركبة خصوصية,Private Saloon,1883
2002, دبـــــــــــــي,Dubai,مركبة خصوصية,Private Saloon,965
2002, الشــــارقــــة,Sharjah,مركبة خصوصية,Private Saloon,1386
2002, عجمــــــــــان,Ajman,مركبة خصوصية,Private Saloon,232
2002, أم القيويــــن,Umm Al - Qiwain,مركبة خصوصية,Private Saloon,270
2002, رأس الخيمــة,Ras Al - Khaima,مركبة خصوصية,Private Saloon,809
2002, الفجيــــــــــرة,Fujeira,مركبة خصوصية,Private Saloon,162
2002, أبو ظـــــبي ,Abu  Dhabi,مركبة أجرة,Taxi,59
2002, دبـــــــــــــي,Dubai,مركبة أجرة,Taxi,65
2002, الشــــارقــــة,Sharjah,مركبة أجرة,Taxi,92
2002, عجمــــــــــان,Ajman,مركبة أجرة,Taxi,27
2002, أم القيويــــن,Umm Al - Qiwain,مركبة أجرة,Taxi,0
2002, رأس الخيمــة,Ras Al - Khaima,مركبة أجرة,Taxi,37
2002, الفجيــــــــــرة,Fujeira,مركبة أجرة,Taxi,0
2002, أبو ظـــــبي ,Abu  Dhabi,حافلة خفيفة,Light Bus,66
2002, دبـــــــــــــي,Dubai,حافلة خفيفة,Light Bus,37
2002, الشــــارقــــة,Sharjah,حافلة خفيفة,Light Bus,7
2002, عجمــــــــــان,Ajman,حافلة خفيفة,Light Bus,1
2002, أم القيويــــن,Umm Al - Qiwain,حافلة خفيفة,Light Bus,5
2002, رأس الخيمــة,Ras Al - Khaima,حافلة خفيفة,Light Bus,19
2002, الفجيــــــــــرة,Fujeira,حافلة خفيفة,Light Bus,2
2002, أبو ظـــــبي ,Abu  Dhabi,حافلة ثقيلة,Heavy Bus,40
2002, دبـــــــــــــي,Dubai,حافلة ثقيلة,Heavy Bus,17
2002, الشــــارقــــة,Sharjah,حافلة ثقيلة,Heavy Bus,6
2002, عجمــــــــــان,Ajman,حافلة ثقيلة,Heavy Bus,0
2002, أم القيويــــن,Umm Al - Qiwain,حافلة ثقيلة,Heavy Bus,1
2002, رأس الخيمــة,Ras Al - Khaima,حافلة ثقيلة,Heavy Bus,5
2002, الفجيــــــــــرة,Fujeira,حافلة ثقيلة,Heavy Bus,3
2002, أبو ظـــــبي ,Abu  Dhabi,شاحنة خفيفة,Light Goods Vehicle,313
2002, دبـــــــــــــي,Dubai,شاحنة خفيفة,Light Goods Vehicle,79
2002, الشــــارقــــة,Sharjah,شاحنة خفيفة,Light Goods Vehicle,40
2002, عجمــــــــــان,Ajman,شاحنة خفيفة,Light Goods Vehicle,0
2002, أم القيويــــن,Umm Al - Qiwain,شاحنة خفيفة,Light Goods Vehicle,8
2002, رأس الخيمــة,Ras Al - Khaima,شاحنة خفيفة,Light Goods Vehicle,110
2002, الفجيــــــــــرة,Fujeira,شاحنة خفيفة,Light Goods Vehicle,21
2002, أبو ظـــــبي ,Abu  Dhabi,شاحنة ثقيلة,Heavy Goods Vehicle,550
2002, دبـــــــــــــي,Dubai,شاحنة ثقيلة,Heavy Goods Vehicle,66
2002, الشــــارقــــة,Sharjah,شاحنة ثقيلة,Heavy Goods Vehicle,79
2002, عجمــــــــــان,Ajman,شاحنة ثقيلة,Heavy Goods Vehicle,0
2002, أم القيويــــن,Umm Al - Qiwain,شاحنة ثقيلة,Heavy Goods Vehicle,13
2002, رأس الخيمــة,Ras Al - Khaima,شاحنة ثقيلة,Heavy Goods Vehicle,78
2002, الفجيــــــــــرة,Fujeira,شاحنة ثقيلة,Heavy Goods Vehicle,30
2002, أبو ظـــــبي ,Abu  Dhabi,أخرى (ثقيل),Other Heavy,32
2002, دبـــــــــــــي,Dubai,أخرى (ثقيل),Other Heavy,10
2002, الشــــارقــــة,Sharjah,أخرى (ثقيل),Other Heavy,9
2002, عجمــــــــــان,Ajman,أخرى (ثقيل),Other Heavy,0
2002, أم القيويــــن,Umm Al - Qiwain,أخرى (ثقيل),Other Heavy,0
2002, رأس الخيمــة,Ras Al - Khaima,أخرى (ثقيل),Other Heavy,0
2002, الفجيــــــــــرة,Fujeira,أخرى (ثقيل),Other Heavy,11
2002, أبو ظـــــبي ,Abu  Dhabi,دراجة هوائية,Bicycle,112
2002, دبـــــــــــــي,Dubai,دراجة هوائية,Bicycle,28
2002, الشــــارقــــة,Sharjah,دراجة هوائية,Bicycle,17
2002, عجمــــــــــان,Ajman,دراجة هوائية,Bicycle,6
2002, أم القيويــــن,Umm Al - Qiwain,دراجة هوائية,Bicycle,4
2002, رأس الخيمــة,Ras Al - Khaima,دراجة هوائية,Bicycle,3
2002, الفجيــــــــــرة,Fujeira,دراجة هوائية,Bicycle,1
2002, أبو ظـــــبي ,Abu  Dhabi,دراجة نارية,Motorcycle,86
2002, دبـــــــــــــي,Dubai,دراجة نارية,Motorcycle,44
2002, الشــــارقــــة,Sharjah,دراجة نارية,Motorcycle,24
2002, عجمــــــــــان,Ajman,دراجة نارية,Motorcycle,1
2002, أم القيويــــن,Umm Al - Qiwain,دراجة نارية,Motorcycle,6
2002, رأس الخيمــة,Ras Al - Khaima,دراجة نارية,Motorcycle,33
2002, الفجيــــــــــرة,Fujeira,دراجة نارية,Motorcycle,8
2003, أبو ظـــــبي ,Abu  Dhabi,مركبة خصوصية,Private Saloon,2314
2003, دبـــــــــــــي,Dubai,مركبة خصوصية,Private Saloon,1052
2003, الشــــارقــــة,Sharjah,مركبة خصوصية,Private Saloon,1756
2003, عجمــــــــــان,Ajman,مركبة خصوصية,Private Saloon,235
2003, أم القيويــــن,Umm Al - Qiwain,مركبة خصوصية,Private Saloon,211
2003, رأس الخيمــة,Ras Al - Khaima,مركبة خصوصية,Private Saloon,660
2003, الفجيــــــــــرة,Fujeira,مركبة خصوصية,Private Saloon,164
2003, أبو ظـــــبي ,Abu  Dhabi,مركبة أجرة,Taxi,32
2003, دبـــــــــــــي,Dubai,مركبة أجرة,Taxi,38
2003, الشــــارقــــة,Sharjah,مركبة أجرة,Taxi,141
2003, عجمــــــــــان,Ajman,مركبة أجرة,Taxi,23
2003, أم القيويــــن,Umm Al - Qiwain,مركبة أجرة,Taxi,0
2003, رأس الخيمــة,Ras Al - Khaima,مركبة أجرة,Taxi,20
2003, الفجيــــــــــرة,Fujeira,مركبة أجرة,Taxi,0
2003, أبو ظـــــبي ,Abu  Dhabi,حافلة خفيفة,Light Bus,53
2003, دبـــــــــــــي,Dubai,حافلة خفيفة,Light Bus,49
2003, الشــــارقــــة,Sharjah,حافلة خفيفة,Light Bus,20
2003, عجمــــــــــان,Ajman,حافلة خفيفة,Light Bus,3
